Channel_Label,Well_Label,Timestamp,Maximum_Amplitude,Minimum_Amplitude,Peak_to_peak_Amplitude
33,35,97.13224,7.96511627906977e-06,-1.27325581395349e-05,2.06976744186047e-05
33,35,166.44224,1.46511627906977e-05,-1.86046511627907e-05,3.32558139534884e-05
33,35,167.80496,1.30232558139535e-05,-1.37209302325581e-05,2.67441860465116e-05
33,35,182.81864,1e-05,-1.56395348837209e-05,2.56395348837209e-05
33,35,190.21696,9.76744186046512e-06,-1.62209302325581e-05,2.59883720930233e-05
33,35,226.2912,6.27906976744186e-06,-1.01162790697674e-05,1.63953488372093e-05
33,35,272.20216,6.86046511627907e-06,-1.02325581395349e-05,1.7093023255814e-05
33,35,275.35264,1.25e-05,-1.38953488372093e-05,2.63953488372093e-05
33,35,275.43992,1.44767441860465e-05,-1.36046511627907e-05,2.80813953488372e-05
34,35,46.49544,7.32558139534884e-06,-5.69767441860465e-06,1.30232558139535e-05
34,35,68.83944,7.5e-06,-5.23255813953488e-06,1.27325581395349e-05
34,35,80.74144,7.44186046511628e-06,-4.18604651162791e-06,1.16279069767442e-05
41,35,34.24928,8.54651162790698e-06,-7.2093023255814e-06,1.57558139534884e-05
41,35,45.38944,8.02325581395349e-06,-9.01162790697674e-06,1.70348837209302e-05
41,35,46.20216,5e-06,-9.01162790697674e-06,1.40116279069767e-05
41,35,47.1108,6.68604651162791e-06,-8.77906976744186e-06,1.54651162790698e-05
41,35,48.44488,6.1046511627907e-06,-9.06976744186047e-06,1.51744186046512e-05
41,35,86.06008,4.88372093023256e-06,-1.08139534883721e-05,1.56976744186047e-05
41,35,89.73784,6.45348837209302e-06,-9.82558139534884e-06,1.62790697674419e-05
41,35,92.52152,6.51162790697674e-06,-1.0406976744186e-05,1.69186046511628e-05
41,35,94.8172,8.31395348837209e-06,-6.04651162790698e-06,1.43604651162791e-05
41,35,140.48448,5.46511627906977e-06,-9.47674418604651e-06,1.49418604651163e-05
41,35,145.22368,6.27906976744186e-06,-8.19767441860465e-06,1.44767441860465e-05
41,35,188.56328,5.23255813953488e-06,-9.06976744186047e-06,1.43023255813954e-05
41,35,190.1432,6.97674418604651e-06,-9.30232558139535e-06,1.62790697674419e-05
41,35,193.2648,4.01162790697674e-06,-9.82558139534884e-06,1.38372093023256e-05
41,35,194.66688,6.45348837209302e-06,-9.06976744186047e-06,1.55232558139535e-05
